Product Name,Original_Price,Selling_Price,Discount,Reviews,Ratings
"Oziva Nature Derived Calcium, Magnesium+Zinc",1758.0,1549,12.0,9.0,4
Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powde...,5079.0,4987,2.0,188.0,4
Kapiva Virgin Coconut Oil (Cold Pressed) 100% Pure & Organic...,1200.0,499,25.0,2671.0,5
Isopure Zero Carb Protein (Unflavoured),7999.0,7129,11.0,20.0,4
"Oziva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",858.0,642,25.0,1148.0,4
Pee Safe Toilet Seat Sanitizer Spray,1200.0,120,25.0,11634.0,5
Be Bodywise Collagen Builder Gummies Vitamins For Skin Nouri...,965.0,434,55.0,1164.0,4
Wellbeing Nutrition Beauty Korean Marine Collagen Peptides -...,1999.0,1699,15.0,276.0,4
Upakarma Ayurveda Pure Shilajit,1900.0,703,63.0,84.0,5
Forest Essentials Organic Cold Pressed Virgin Almond Oil - P...,1200.0,2450,25.0,394.0,5
"MCaffeine Coffee Body Polishing Oil - Moisturizes, Reduces C...",445.0,392,12.0,16320.0,5
TruNativ Everyday Sweet 1:1 Sugar Replacer,299.0,209,30.0,120.0,5
"Oziva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",1200.0,999,17.0,2443.0,4
HealthKart HK Vitals Fish Oil Capsules 1000mg Omega3 with 18...,1200.0,539,25.0,2760.0,4
"Healthkart HK Vitals Biotin, Supplement For Hair Growth, Str...",469.0,359,23.0,6083.0,4
INJA Pro Finest Hydrolyzed Japanese Marine Collagen - Unflav...,4000.0,3520,12.0,120.0,4
Oziva Acv Moringa Apple Cinnamon Hot Mix For Craving Control...,1800.0,1299,28.0,1.0,5
Nat Habit Pure Virgin Coconut Baby Oil,605.0,484,20.0,474.0,5
Baby Dove Rich Moisture Shampoo,220.0,154,30.0,629.0,4
Isopure 100% Whey Isolate Protein - Creamy Vanilla,13399.0,11959,11.0,32.0,4
"OZiva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",3200.0,1999,38.0,2444.0,4
YourHappyLife Pure Glutathione Skin Booster Capsules for Bri...,1399.0,1105,21.0,148.0,5
Oziva Vegan Collagen with Biotin & Vitamin C For Brighter & ...,959.0,869,9.0,297.0,4
Isopure 100% Whey Isolate Protein - Cookies & Cream,1200.0,6199,25.0,58.0,4
"Carbamide Forte Chelated Magnesium Glycinate 2000mg, Muscle ...",599.0,375,37.0,112.0,4
Miduty Krill Omega Complex Omega 3 EPA & DHA Heart & Brain H...,1200.0,2054,25.0,63.0,5
Bloom by Boldcare Internal + External Arouse Massager Stress...,1780.0,1593,11.0,37.0,5
Plix Apple Cider Vinegar Effervescent Tablet with Vitamin B6...,350.0,294,16.0,319.0,4
Miduty Marine Collagen 4X Hydrolysed Collagen Peptides Skin ...,1200.0,1960,25.0,50.0,5
"Wellbeing Nutrition Slow Hair, Skin & Nails with Biotin, Glu...",1399.0,1189,15.0,111.0,4
Oziva Advanced Hair Growth ActivesReduces Thinning Hair & Im...,6297.0,3749,40.0,439.0,5
YourHappyLife Marine Collagen Reglow 8000mg with Glutathione...,2199.0,1649,25.0,125.0,4
Gritzo Supermilk Growth+ 12G Protein Powder For 10-12Y Girls...,1200.0,849,25.0,17.0,4
Plix Glutathione Skin Glow 30 Effervescent Tablet 500mg for ...,1300.0,1092,16.0,990.0,4
Oziva Protein & Herbs Shake For Women - Cafe Mocha,2979.0,2799,6.0,337.0,5
Chicnutrix Glow - Glutathione & Vitamin C Tablets - Skin Rad...,699.0,455,35.0,414.0,4
Forest Essentials After Bath Oil Mogra,1200.0,1950,25.0,34.0,5
"Nat Habit 100% Pure Cold Pressed Castor Oil For Hair Growth,...",376.0,290,23.0,903.0,5
What's Up Wellness Daily Burner Weight Loss Capsules - CarbB...,699.0,599,14.0,88.0,4
"OZiva Protein & Herbs Women, Protein with Multivitamins for ...",1579.0,1529,3.0,124.0,4
TruNativ Advanced Japanese Marine Type 1 & 3 Collagen Powder...,1799.0,1511,16.0,18.0,5
Miduty Vitamin B12 Methyl Folate Fast Absorption Methylcobla...,1200.0,746,25.0,129.0,5
Wellbeing Nutrition Oral Thin Strips,1200.0,599,25.0,602.0,4
